时间,用户,星级,短评,支持数
2021-12-09 21:58:43,欢乐分裂,四星,狮头里主观视角望出去的一线天地，摩天大楼挨挨挤挤间的一缕朝阳，下下铺板条割出的一方逼仄，这就是病猫们努力生存的空间，在遥远的梦想和困窘的现实之间做两难选择——然而仅那一束窄窄的光，一串激昂的鼓点，就足以支撑起这些失意的无名之辈越上高阶；无疑具有港式小人物励志风味，咸鱼如何翻身，梦想怎么达成，在生活洪流中不由自主的我辈是否能安身，最终以兼有现实意义的笔触和携有夸张戏谑的写意合力完成热血输出，这些或许并不独创的元素被糅进一个张弛有度的故事，很有看头。开场基调就定位准确（赞美配乐），浸润着方言的小镇氛围满是乡土的亲切气息，舞狮题材不仅有新意，更有传统文化的普及功能；人物脸谱终于摆脱审美疲劳，具有各自神韵；景物很实景感。,143
2021-12-11 20:11:22,德克斯特,五星,大意了 没有闪😂,204
2021-12-04 17:55:21,汪金卫,四星,可以给四星半。看片前没有任何了解，片头过后一瞬间就被画面震惊了，应该是我看过的国产动画里环境建模最真实最出色的。无论是乡村、城市还是树林、街道的环境质感均如照片般现实，非常惊艳。相比真切的环境，人物造型、动作有不少夸张成分，倒也不违和。舞狮的题材和热血的剧情、广东地域风土文化、粤语粤音、《功夫》《黄飞鸿》等港片文化的元素交织，相得益彰。情节设定十分套路，但在传递足够“燃”的热血感、节奏感、力量感的同时，也展现了城乡发展与阶级差异的现实。收尾戛然而止，倒也干净利落不拖沓。阿猫阿狗也同样要追梦，咸鱼翻身后仍然是咸鱼。,196
2021-12-11 18:12:16,邓安庆,四星,喔，好看！制作精良。尤为喜欢片中对岭南乡村的生动呈现。故事是典型的“弱者逆袭”的叙述模式，但依旧看得热血沸腾，原因在于前面情感积蓄得足够多，到后面释放时才如此动人。看完后，我想这是留守儿童的一个梦，多少人能够真的从如此艰难的处境中绽放出来呢？很少。很多人只是重复着父母辈的命运。,127
2021-12-23 23:23:14,看荐姐,五星,四星半，其实瑕疵不少，上半部密集的琼瑶式宣言，情节转换略跳脱，人物表情不够丰富...但，依然愿意给高分。尤其是下半部。因为太真挚了。太特别了。这是从形式到内核都只属于中国的故事，且聚焦的是茫茫中国大地上最不吸引媒体高光但也许分布得最广的一批人。从留守少年，到进城务工人。听上去是两个群体，两代人，但往往就是同一个，因为有时命运就像身在泥沼中，越挣扎越深。他们是父母远在大城市的孩子，从小被欺负到大，本可以茫然无措混一辈子。他们也是进城后，放下雄狮头颅，清早迎着朝阳，穿灰色工服进厂，攀爬脚手架，搬运重物，送外卖，晚上披星戴月回寝室，蜷缩在下铺下那一丝窄窄空间的打工仔。从缝隙里睁眼望见的雄狮，黯淡落灰，是个遥远而不切实际的梦。但这个放下梦想的孩子，依然是伟大的。谁又能说，追逐生活本身，不是一种伟大呢,183
2022-01-01 23:21:36,Yakuuult,五星,小问题不少，但走心程度让影片瑕不掩瑜了。今天很巧买到了有导演映后交流的场次，有个战狼男观众提问导演为什么要给人物设计成“眯眯眼”，导演大概意思是说他的电影是为了真正的观众拍的，他相信真正的观众不会有这个问题，讲完这句全场疯狂鼓掌。,141
2021-12-25 10:43:13,Linkon,五星,官媒讲政治正确讲过头了，养蛊了吧，这么好的电影都被黑造型……,222
2021-12-17 16:33:19,Gintoki,二星,最近看过最恶心的片子。1.片中女性绝对无法通过森真子、性感台灯测试。2.坐豪车的女主对打工男主说你是被英雄花砸中的人，我和朋友直接笑出声。3.无处不在的外貌羞辱，还自以为幽默。4.太阳刚了，不适合娘炮、男同、第二性别人观看。,194
2021-12-28 11:36:52,豆友,五星,零零年代涌入广东为中国的经济腾飞付出汗水和青春的无数无名者，终于有一天你们被写入了主流电影,149
2021-12-16 13:04:59,9,一星,不燃不好哭很尬,482
2021-12-22 23:52:33,sc,五星,我真的觉得很不错 不知道为什么 现在会变成这样 莫名冒出来这么多人借着爱国的幌子各种扣帽子 当个正常人吧,164
2021-12-09 23:04:35,寒枝雀静,四星,C / 鬃毛零落花叶飘飞的一刻仿佛有Zima Blue式的美感，然而这一刻的幻化却又显得有些虚浮——因为人物戴上这一身铠甲的过程本就太过自然而然了。他们身体的变化被缩减为精神试炼，同时这“面具”并无它沉重且陌异的“物”的一面，仅仅是一个必然会证明意志强健的标记。因此这灵光一闪更像是一种空虚中的无力提炼，而非所试图捕捉的虚与实的瞬间共在。或许还是被大半段想当然的拜师学艺故事给耽误了，也被随时摊开每段回忆准备煽情的全知叙述耽误了。而重心也渐渐坍缩于一种单一的“现实”（尽管能有这样的呈现已然不可多得）之中，飞不起来了。,147
2021-12-11 17:31:07,晚不安,四星,其实调性没有做到十足统一，前半段不少情节流于虚浮和滑腻；《少林足球》的现实底色和无厘头表演可以达成完美糅合，《雄狮少年》多少缺了些这样强大的创作自信。中段画风一转，进入农民工叙事，尽管蒙太奇高速切换，还是有残酷的生存细节接二连三地冒头。收尾实在利落，情节设计结实地击中到我：配乐和分镜准确地搭配，想象力和少年心气一齐迸发，但也不忘加上一个彩蛋，消解了“我命由我不由天”的神话。在奇幻当道的国产动画圈，多一星给主创选题的勇气。,128
2021-12-22 18:42:32,顿河,四星,可以放开说了。我觉得比起一二幕的稍显草率，最大的遗憾是审美的整体性和原创性欠缺。但第三幕就是我们自己的鱿鱼游戏，也为触及留守儿童的现实主义打个Call，好看的。至于所谓的争议事件，只能说太坏了，什么时候我们不被概念定义，我们才能定义概念。,67
2021-12-23 19:25:34,选择困难症,五星,看过心里还是很不舒服，生活太过苦涩。舞狮获胜对生活来说改变不了什么，其实挣得就是一口气，证明自己不是废柴，日子还要照常过。但是少年的内心强大了，成长了，只是着实过程艰辛。喜欢片子的地域风情，很接地气，也不是英雄，只是平凡人而已。配乐很棒，人生就是上山下山。,144
2021-12-10 00:50:56,木卫二,三星,星仔想舞狮。对于把周星驰和《少林足球》看到滚瓜烂熟的影迷而言，《雄狮少年》无论化用广佛的市镇风貌和舞狮文化，还是约略采掘了广粤复杂方言语境（五条人的海陆丰和九连真人的河源等），都不如在造型、广普和人名上的密集致敬。小人物翻身的打底，却制造出了退无可退的群体尴尬和原乡沼泽。动画片很大程度抑制了现实主义的细节不妥，也让更多人欣快接受热血的后半段，看似老套，已经被香港武打动作片拍到尽的的舞狮打比赛，反而交出了流畅自然的新意，技术上无可挑剔。,95
2021-12-25 17:00:49,genius_at,五星,这次才是真正的文化自信,173
2021-12-11 12:54:58,阿德,四星,和当年看哪吒一样，又一部让我找回看港片喜剧快感的国漫，没哪吒搞笑，但却更热血，与舞狮的结合更是亮点，五条人和九连的配乐用的也非常出彩，快爆吧！ps：结尾的魔幻现实处理太赞了，个人觉得高潮就应该定格在此，彩蛋略多余。,64
2021-12-29 21:28:31,吾荐,四星,眼睛并未让我产生任何不好的联想，如果有，那就是整张脸绝类狮子，莫非有意为之？阿猫太像悟空了，以至于我把阿狗认作八戒，阿娟认作三藏，尤其是他刚剃完头的那会儿。,76
2021-12-08 22:09:19,子戈,四星,看完了第一个想说的是，如果不是国产动画，这片儿一定会被骂长相乳滑。形象设计确实和“美”不沾边，但气质很对，它是一部关于留守儿童的电影，从直观上首先就做到了平民底层的质感。如果说大陆电影这么多年有一部最接近“周星驰”内核的电影，反倒是这一部。影片对于小人物下手足够狠，明明以为到了最底层了，发现还有下下铺。而最后的励志一方面很燃很痛快，但另一方面，它并不会真的解决任何问题，它只是一种纯粹精神上的飞升。这个对小人物确实很重要，就像尹天仇最后公演成功，但仅仅也是在“街坊剧场”而已。与此同时，影片设计了另一个处于更高阶层的女性角色，复盘整部动画，其实在说，舞狮——这个被更高阶层的人放弃了的选择之一，对这个底层男孩来说，或许是唯一可以精神胜利一次的机会。这又从另一个侧面触及了“周星驰”式的残忍。,109
2021-12-24 16:13:59,巴伐利亞酒神,四星,导演是个乐夏粉吗，从五条人到椅子乐团到九连真人又听了一遍。然而，还是想说处理的很高级：燃的很俗套，燃的也很真实。就像片尾，喜欢的女孩仍旧是别人的女朋友，生活还是日复一日地去工地搬砖。这不仅仅是一部关于舞狮的电影，这更是一部关于人生的电影：即便身处阴沟，也要仰望星空；就算身居陋室，也不要忘记你是一头雄狮。更何况，那还是一间推开窗户就可以看见东方明珠的陋室。所以少年已经用坚定的眼神做出了回答：他可以被生活打败，但永远不会向命运屈服。,46
2021-12-19 02:20:56,Rebecca Z.,五星,任谁都能看出来剧本套路的问题但是美术和分镜也做得也太棒了！！因为足够诚挚，试听表达打磨得足够细腻，所以一个老生常谈的励志主题被讲述得极其有说服力，被煽动情绪也只觉得心服口服。太喜欢舞台上的狮子和高楼天台上的狮子对望的那一幕了，是会被纳入我心目中电影经典画面的程度。,144
2021-12-21 08:59:21,Singin'in rain,五星,终于看到一部高质量的非神话国产动画电影了！结构和套路确实传统，但是玩出了花，浓浓的烟火气，以及留守儿童、打工人、小镇生活等现实因素的加入，让电影成为描摹广东生活的画卷。每个人的心中都有一头雄狮，可以是舞狮，也可以是任何小小的发光的自我。,116
2021-12-08 23:22:29,思路乐,三星,【B－】一直反感当下主流3D动画中近乎走火入魔的拟真质感，也同样对港式励志喜剧的剧作套路无感。但在《雄狮少年》里，两者却在我的审美排斥下共同组成了另一种别样的存在，也就是现如今各种虚伪真人主旋律的轰炸下，我们竟然要在动画电影里才能找寻现实主义的表达。所以画面上的拟真追求有了落脚点，城市影像的介入实在是意外，缝隙中的朝日是全片高光所在。不过那些“高燃落泪”的评价仍然是可被计算的，但与其他纯粹消费题材的作品相比，本片高明之处便在于懂得收敛，知晓前方的真正壁垒所在。所以结局可以看作另一种《灌篮高手》，他们把梦留在了最高点，然后继续生活。,131
2021-12-11 20:14:39,连城易脆,四星,其实我并没有觉得有那么那么好看，当然在我这里大圣归来、哪吒之魔童降世也就是还行，只是对于动画电影我会更多持鼓励的态度。当然本片确实有很多积极的意义和可圈可点的地方，很多人评价里也提到了，首先不再是老掉牙的神话题材，是原创IP，而且还偏现实主义，又有较多的方言和地域特色，更有九连真人和五条人的插曲，对于舞狮这类传统文化的展现和最后的高潮部分都非常值得一提，同时结局回归现实，对阶级的展现也算是比较难得的。相信张苗自己都没料到电影口碑会爆得这么出色吧，陈思诚不知道会不会焦虑，或者感到背后一丝凉意？误杀2会被截胡吗？其实我持谨慎乐观的态度，以及并不赞同在工作日进行点映的策略。下周二误杀2的点映会看出端倪，毕竟背靠万达，雄狮在市场上能跃升到擎天柱吗？拭目以待！,50
2021-12-18 18:32:11,顾左右,四星,中间叙事节奏有点拖沓，但是但是，最后那纵身一跃和前往上海继续打工，是非常成功的一笔。令人想到所有心怀理想的小人物面对命运压榨时候的“不认”，高光之后回归现实，一切都没有改变，但是一切都不一样。这种现实的理想主义做派，在热衷“造梦”的动画/国产电影中少见，不得不加星。（我也被木棉砸过，虽然在广州没见过那么漫山遍野的木棉）,57
2021-12-17 18:56:43,吃掉太阳,四星,"大银幕上已经很久看不到穷人了。这是2003年左右的故事，我才意识到，我们国家这些年的确是发展得好快，即便是建筑工人，工资还是不错；留守儿童也都长大了，有的都成了爸妈。但国家强大的背后，很大程度上正是由于牺牲了底层劳动者对于感情的诉求。当然，文本还是有一些瑕疵，但是这种题材的国漫当然应该支持。歌好好听，让我想起了2020年的乐夏，五条人出息了啊！开片就是《道山靓仔》，中间还有椅子乐队的歌，但歌曲之间稍微有点密集，不免有煽情的嫌疑；我很喜欢彩蛋，几个简单的镜头把人瞬间拉回现实。奇迹是给努力的人，但有些现实是即便努力也打不败的。",77
2021-12-17 16:15:59,深思,五星,这个画风不是挺好的吗，非得眼睛占脸的一半吗。别管有些人在那儿就莫名其妙的点而抵制，买票就完事了。这样的制作，动画题材的突破，不去看一下中国动画才是真的完了！一群魔怔人怼着无关紧要的点在那儿说还挺无语～～～～～～～前半段真的拉（其实就是国产剧情一般水平），但是后半段看起来就非常舒适了。狮子做得栩栩如生，动作设计也不错。特别是后半段的人物表情也更生动了，看到后面真的会忽略长相。而且，终于不是奇幻电影了！！,179
2021-12-24 10:24:26,皮革业,四星,有片方愿意投这种原创、成人向、现实题材动画电影，算是一种进步，给个鼓励分。剧本问题比较大，不说周星驰20年前的文本是否过时，纯喊口号式的二手金句台词实在太尴尬了，也跟片子的现实基底完全不搭。大幅减少对白的第三幕观感立马提升，完全靠视听呈现的高潮收得漂亮，导演明显优于编剧。,29
2021-12-27 17:16:39,🙈🙉🙊,五星,天台独舞，苏醒的不止有心中的雄狮，还有整个城市，伴随朝阳升起的鼓点，是属于这个城市的心跳和呼吸，这段戏完美呈现了平凡人的生活,128
2021-12-12 00:57:03,绿绿葵,五星,冲着最后让我洒的热泪，怒打五星。国产动画里终于有一部现实题材的好作品了，还原真实质感的画风，扎根平民的故事创作，小人物的平凡与伟大，而动画的夸张浪漫更多地用于表现舞狮场面。那股不向现实低头的劲儿，太让人动容了。哪吒的“我命由我不由天”很难让人感同身受，因为他依然是高高在上的神。阿娟的腾空而起却能让大多数人破防，因为他就是我们身边的人，甚至就是我们自己。,137
2021-12-26 09:15:37,hawua,一星,对不起，个人观感，画风让我生理上倍感难受,452
2021-12-08 23:23:30,Annihilator,五星,2021年度十佳。可谓剧力万钧，情节随着男主角形象的改变而疯狂演进，但却又时刻通过相似的结构来回旋至原点：从男主角等待父母回来，到三人组等待男主角回来，不变的是对小镇-城市的阶级空间划分的强调。由此电影成为对仗工整的两部分，第一部分的僵硬与不平衡在中段的那个极度惊人的变奏后被彻底盘活——当男主角在第二部分重访“舞狮追梦/接受现实”的选择时，原本周星驰喜剧式的、略显空洞的口号在足够的积淀作用下，复归为行云流水的叙事、与一泄如注的情感。同样，十足二次元老梗的“打破日常的天降少女”这一开篇人设，在第二部分被重新填入阶级身份并产生新的意义，竟然微妙地创造了小镇incel与都市女性之间的共同境遇。即便热血，创作者们从未忘记底层的真相，因此在尾声的奇迹之后，仍有彩蛋负责将观众拉回现实，留下的不过一张照片而已。,134
2021-12-23 11:57:03,先知,五星,黑人不让人叫尼哥还分别人和自己人呢。咱们自己因为一张脸喷的不可开胶。你们的虚荣好面和护短已经深入骨髓了。,111
2021-12-22 04:44:40,英年早睡,三星,3星全给画面，纹理真的做得太好了，狮头的须，飘动，逼真度自然度满分！还有舞狮时候的步伐都非常好看！但剧情是什么鬼？一个前度冠军无端端去一个乡下，送一个那么贵的狮头给一个陌生人？几个门外汉在一个已经荒废十几年的教练手下练了几个月就能夺冠？合理性已经全毁了，就靠打鸡血推进剧情！最无言是最后那一幕，硬就是要宣扬这种精神胜利~明知不行还要冲是燃，但把狮头挂上去那种虚荣太恶心！这个时代怎么还追求这种阿Q精神？还一堆人觉得激动。。。。。,114
2021-12-24 18:20:54,WUYU,一星,单纯人物长相恶心到我了,283
2021-12-24 18:00:05,费文轩,一星,眯眯眼是真恶心,259
2021-12-25 01:22:24,棉花狼,一星,电影剧情还可以，可以给到4星甚至5星。但是剧组的发言和态度让我极度反感，做错了就要认，而不是用不知哪儿来的优越感来颠倒是非，艺术没有国界，但是艺术家有。另外，请剧组不要把观众当傻子。～～～～～类似这样夹带私货的影片的确是用心险恶，它就是用巧克力包着屎给你吃，吃完你说巧克力里面有屎，他却说你不懂巧克力，然后就可以堂而皇之的对国内的人民进行分化和对立，从而实现其不可告人的秘密㊙️不得不说剧组通过眯眯眼来捧洋大人的臭脚来恶心全体中国人，汉奸不可怕，就怕汉奸有文化，真心让人恶心的汉奸无过于这种夹带私货的汉奸剧组了吧，他们如果真的不懂艺术也就罢了，就怕他们是真懂，细思极恐！！！,261
2021-12-11 18:27:30,河狸,五星,咸鱼店夫妇叫阿强和阿珍，预告片插曲又是五条人的。所以我期待了一整场《阿珍爱上了阿强》。,115
2021-12-18 18:16:00,端舞,三星,对于国漫来说，技术早就不是最大的问题了，审美和故事才是。人太丑了啊，太丑了，还是每一个都丑……故事太旧太馊太硬了，周星驰能气吐血那种。,97
2021-12-18 12:25:24,neon,五星,不是2021年度最佳动画，是2021年度最佳电影，弘扬国粹,146
2021-12-11 16:26:11,想恰蛋烘糕糕,一星,"每次当我对某部电影和大众认知南辕北辙的时候，我都会怀疑是我疯了还是世界疯了。就当它是好看的吧，虽然有很多莫名其妙的运镜处理，虽然前一个小时的节奏都乱七八糟，虽然最后两处鼓点和音乐都烘托剧情要燃起来的时候咔咔进闪回让人情绪一下子就掉了，虽然很多剧情都不合常理，虽然是老掉牙的小人物追梦主题。就当它是好看的吧，美颜相机滤镜也就图一乐，要说牛逼还得是咱国漫滤镜。",549
2021-12-08 23:28:21,某J。624,三星,值得去影院贡献下票房，周星驰、五条人、九连真人……虽然优缺点都非常明显，而如何平衡故事与技术上的差距依旧是国产动画的漫漫长路；后半段优于前半段，特别是少年推开天台的门开始，一气呵成。到最后，总是哭着求神拜佛的少年终于化为雄狮，上山下山，路自在脚下。,91
2021-12-26 23:29:03,Eileke,五星,即使前半段有各种各样画面上的粗糙，也会被最后雄狮跃起的那一刻热血到浑身沸腾。更感动的是结尾，没有升级后的皆大欢喜与家人团聚，而是在彩蛋里告诉我们成年人世界的残酷——你可以为了梦想搏一搏，但最终都要面对现实的生活。这样的结局第一次在国产电影里看到而且还是一部动画片，很敢很真实。,122
2021-12-11 16:10:45,噗效愚,五星,想要燃很容易，但想要浪漫很难，这个片子偏偏就拍得很浪漫。有些笑料还是有点傻，但是一点儿不坏，不叫人难以忍受，虽然五条人和椅子那两首加得很生硬，但九连的奇特前奏偏偏就放在最合适的地方。挑战时刻难免有辩护人即视感，可是有精彩的动作把这一口气顶上去了，而动作之精彩比比皆是。几处狮头内外的视角也非常喜欢，看狮头里的人，看狮头里什么样，从狮头往外看。觉得它好，并不只是出于年底院线一塌糊涂的原因，本身也挺好的。,74
2021-12-25 16:41:23,ce?!?!?ce,三星,1、女孩子的梦想要靠男去实现。女阿娟：我爸妈不让我舞狮，我本希望能在第六届舞狮大赛上看到一个和我一样名字的少年；2、阿珍靠卖咸鱼送咸鱼去实现咸鱼强舞狮的梦想，为了男甘于奉献；3、男阿娟：妈妈，你在家好好照顾爸爸和爷爷，赚钱的事就靠我了 等等。自己做个记录,69
2021-12-19 14:09:37,离桑,一星,中国影史之耻没有之一,119
2021-12-11 22:36:56,And Astra,三星,一面以传统文化受到冷落为全片背景，一面以众多舞狮队对冠军的争夺为高光时刻，悖论的产生使得本片只能成为不太美味的鸡汤,68
2021-12-18 18:32:11,顾左右,四星,中间叙事节奏有点拖沓，但是但是，最后那纵身一跃和前往上海继续打工，是非常成功的一笔。令人想到所有心怀理想的小人物面对命运压榨时候的“不认”，高光之后回归现实，一切都没有改变，但是一切都不一样。这种现实的理想主义做派，在热衷“造梦”的动画/国产电影中少见，不得不加星。（我也被木棉砸过，虽然在广州没见过那么漫山遍野的木棉）,57
2021-12-17 18:56:43,吃掉太阳,四星,"大银幕上已经很久看不到穷人了。这是2003年左右的故事，我才意识到，我们国家这些年的确是发展得好快，即便是建筑工人，工资还是不错；留守儿童也都长大了，有的都成了爸妈。但国家强大的背后，很大程度上正是由于牺牲了底层劳动者对于感情的诉求。当然，文本还是有一些瑕疵，但是这种题材的国漫当然应该支持。歌好好听，让我想起了2020年的乐夏，五条人出息了啊！开片就是《道山靓仔》，中间还有椅子乐队的歌，但歌曲之间稍微有点密集，不免有煽情的嫌疑；我很喜欢彩蛋，几个简单的镜头把人瞬间拉回现实。奇迹是给努力的人，但有些现实是即便努力也打不败的。",77
2021-12-31 23:58:58,Mia,五星,一场追逐梦想和现实妥协的矛盾冲突，题材对准了底层劳动人民和留守儿童，虽然影片前半段的“咸鱼翻身”不免俗套，但是不影响后面的燃，所以是要梦想还是要生计？最后结局找到了平衡，狮头挂在那里，生活依旧，梦想也在延续。,90
2021-12-04 16:30:46,老怪,五星,12.04点映，观感很不错啊，质感绝对是国产动画第一梯队的(不清楚是为了模仿胶片质感的噪点还是广东的热浪，有的地方看上挺“杂”)是那种热血运动番的套路故事，前半部分故事有点拖，但是后面节奏起来了就引人入胜了。鲜艳的色彩和击击入心的鼓声，视听盛宴来形容也毫不为过。用《今夜无人入睡》配上脚气，绝对是今年最恶趣味最好笑的片段之一。最后就是，收尾很漂亮，一点不拖泥带水，好评。(另外就是影片格式是2D而没有强行3D大好评),175
2022-01-02 21:24:31,Cici路口,五星,岭南的偏远村镇里就是有很多这种眼睛小小、瘦骨嶙峋、其貌不扬的男孩子啊，这部电影的创作人员多棒呀，愿意把镜头对准他们，愿意承认这些人也有梦想，可以去做一些很厉害的事情。这么真诚的动机，却被你们说成是ruhua。我看，这几个角色形象不ruhua，ruhua的是你们的小肚鸡肠和小人之心。,95
2021-12-24 10:24:26,皮革业,四星,有片方愿意投这种原创、成人向、现实题材动画电影，算是一种进步，给个鼓励分。剧本问题比较大，不说周星驰20年前的文本是否过时，纯喊口号式的二手金句台词实在太尴尬了，也跟片子的现实基底完全不搭。大幅减少对白的第三幕观感立马提升，完全靠视听呈现的高潮收得漂亮，导演明显优于编剧。,29
2021-12-18 12:22:04,扶苏,五星,擎天柱正如到不了的远方，繁花似锦巍峨高耸，敬畏中孕育着冲动与渴望，敲击着疲惫的肉身，在钢筋水泥的丛林中，涌动在胸腔里，不羁地跳动至黎明。木桩阵正如回不去的家乡，故土藏着亲朋的绵长情谊，风中的歌谣日日夜夜地唱着，英雄花把天际烧得火红。致所有无名又炽烈的，卑微又坚毅的，苦痛又执着的灵魂：我们生来如尘土，却耀眼如辉光。,114
2021-12-13 14:41:07,给艾德林的诗,一星,咱也不懂可经验的实际境遇不可能改变后它到底在燃什么，是心境燃烧吗？另外两疑问：1.全红婵家庭贫苦，母亲卧病，苦练跳水，试图改变命运，和阿娟舞狮的目的区别在哪？而前者翻天覆地的变化是否就应该因为赶上了一波波运动式“God-making movement”或因为舞台更大挣得了更大的面子，而就比后者更体面更上档次所以更理所应当？2.对诗仙的千古“励志”绝句误读很大，不考虑李白写出“名人名言”的真实情境，无时无刻不顾场合地随时引用都能“爆燃”斗志，和时刻高喊xxxx就是好有什么区别？人的判断在其中真的存在？这俩疑问如果不能很好回答，《雄狮》的燃就有毒，在一个基尼系数都查不到的地方，少年之脚踏实地只是换个地方打工罢了，传统文化耽误了他仅可能的“好生活”路径，当他努力到中年依旧打工，可就不是弘扬传统文化，而是恨不得扬了传统文化。,223
2022-01-03 20:11:27,小折腾,五星,这么优秀动人的作品 有些人却只能揪着人物眼睛大小这样粗浅的东西打转。。。而且片子里有眼睛大的也有眼睛小的 怎么连自己同胞的长相都不能兼容并包了呢？废柴主角（开头的人设）也非得是大眼帅哥？何况一部宣扬本土文化的国产动画为什么要被冠上RH的荒唐罪名哈哈我不懂但我大受震撼,49
2021-12-08 21:46:43,又又,二星,看预告就觉得没啥兴趣，为了看看为啥口碑这么好评分这么高才去看。结果看的哈欠连天，太无聊了，从第一个镜头到最后一个镜头，从人物设计、笑点设计到剧情转折，全都可以预见，太太太俗套了。当然，动画做是做的不错的，场景太逼真了。但是，真的很无趣，想模仿周星驰也就学了个皮毛，而且周星驰那套都是二十年前的笑点了，现在真的不好笑了啊。,141
2021-12-09 21:15:24,冷水浴缸,四星,真正的现实主义底层叙事从来不等于贩卖情绪主题先行的比惨哭片，只是这几年越来越被消费敷衍玩坏了，庆幸当年有人开先河现如今有人也回过神掰回来，很了不起了。细节出真知，即使有配乐过满台词喊口号结局缺少离场感的问题，但种种细节铺陈是真切的人文关怀，是真现实反而就没有共情，只觉得惨和无能为力，那是血淋淋无法改变的状况。除此之外的一大意义是填补了动画电影的题材空白，其实写实题材动画在其他国家非常多，而国内还享受着把老掉牙的神话传说翻来覆去讲的舒适圈。用动画形式去触及真人电影无法直接展示的议题，也是中特行为一种了，尤其在当前所谓“共富”背景下。有现实意义也有行业意义，某种程度上都很“新”很“奇迹”，一个关于“怎样才能有奇迹”命题，这边建议又名《奇迹》吧来个粤港少年梦幻联动，北文不死哈哈哈哈。,50
2021-12-15 19:49:56,南悠一,三星,开篇念白似国产剧，前半部分喊口号，则像被之前票房成功的几部动画片带到了阴沟里，之后才慢慢找到自己的节奏，犹如迷途中找到方向的主角们一样，可谓表里如一。本片的作者意识，直到影片最后高潮戏才算成立，如果创作者没有察觉到表达背后的立场，便不会这般设计，若不这般设计，片子会陷入更坏的情况（更坏的情况是：这场从底层之苦中挣扎而出的雄狮表演，成为城市里的一场表演景观，底层之苦反而让虚假的口号从正确变得更正确。）,34
2021-12-11 12:57:54,居无间,四星,第三幕让影片境界飞升。关于留守儿童的残酷现实与污泥少年的梦想之光激荡共振，融汇成了一股势不可挡的「气韵」。印象深刻的是一个不起眼的小细节。（女）阿娟带着男友来看舞狮大赛，她满眼是光；于男友，这只是一场看过即忘的比赛，意兴阑珊间拿起了手机。这组人物关系喻指了梦想-现实。为了生活，人总要妥协，将梦想抛却。这是大多数人要面对的「现实」。而在（男）阿娟奋战到底，要成为雄狮时，这种冲劲燃起了她心中的火。从一人擂鼓，到全场擂鼓，那声声鼓点，托起了（男/女）阿娟的梦想，托起了众人之梦想。原来，梦想是可以击败现实的，哪怕只有一瞬。影片的剪辑很棒，还有两处蒙太奇段落之所以触动人心，皆因扣住了这个立意。,65
2021-12-30 10:29:47,像一把刀子,四星,结尾的彩蛋是今年看过的最好的彩蛋。,58
2021-12-31 18:18:08,哆啦Z梦,四星,前半段有点儿尬，但是舞狮的部分都太帅了，感觉经费都花在刀刃上了，难得不是老IP的原创故事，而且还是个完整的故事，少年与大佛的几个桥段都很喜欢，至于闹得沸沸扬扬的人设问题真的感觉矫枉过正了，值得一看的国产动画。,48
2021-12-20 23:27:47,哗啦啦,五星,"就因那乌泱泱的""批判""之音，也得给五星。国产好电影不能被淹死，尤其是一部讲我们自己故事，三观正、技术天花板的现实主义动画电影。昨天批眯眯眼，今天批阿猫阿狗，蠢到飞了。尤其很多千字文的自媒体，水军特征明显，套路痕迹严重，就是不遗余力的点炮赚流量。",73
2021-12-19 21:59:03,萌特斯,三星,故事内核挺俗套，情感很真诚，后半段比前半段好。主角虽然命惨，但是遇上的全是好人，欺少年穷的两组人马一组结尾奇怪洗白，另一组是在结束前十分钟拉出来充boss的工具人……制作和歌很不错，但台词写得非常不好，一个想落地的故事里所有角色的台词都是鸡汤且用词非常不口语，三背李白尬得我直呼救命。导演喜欢周星驰我看出来了，那就建议学学周星驰是怎么写小人物台词的，又是怎么把喜剧元素融合进去的，光会拿梗致敬有什么用呢，只会造成台词甚至对人物塑造的割裂感……最后有个问题，如果舞狮在本地这么火，已经形成了规模型赛事，我不懂师父做舞狮教练难道就赚不到钱吗，就一定非得去卖咸鱼吗？,59
2021-12-22 21:53:00,私享史,四星,难得的脱离神话、脱胎现实的国产动画，对岭南风物与气候、对广州并不光鲜的城市面貌都有着准确把握和再现，聚焦留守儿童的脆弱与进城务工人员的艰辛，结尾华彩段落艺术与技术相得益彰一气呵成并充满了少年气，这些都让本片得以好评。男主角引用李白那段让我想起了巫宁坤的《一滴泪》。但缺点也不少。第一，前半程的节奏、调度、笑料都很混乱而且不搭，导演可能像狮子一样还没睡醒。第二，配乐和插曲十分泛滥，而且风格互相不搭，煽情意图明显。鼓点配乐应该是借鉴了《犬之岛》。第三，作为底层悲催男主角性驱力的富家清纯女这个设定非常败笔。,49
2021-12-27 00:02:48,夷陵老祖魏无羡,一星,丑化中国人的垃圾，滚！跪舔你的洋大人去！主创不配做中国人！怎么什么阿猫阿狗都来碰瓷丹凤眼！,203
